advice_id,invoice_no,payer_name,amount,notified_on,utr,narration_hint
ADV-000286,INV-2026-001315,ORBITEX PACKAGING PRIVATE LIMITED,851672.00,2026-08-24,,
ADV-000287,INV-2026-001318,SHREE BALAJI HARDWARE PRIVATE LIMITED,1263197.00,2026-08-16,900000067198,
ADV-000288,INV-2026-001326,NALANDA RECYCLERS PRIVATE LIMITED,950120.00,2026-07-18,,
ADV-000289,INV-2026-001327,ANANT INFRA CONVEYANCES PVT LTD,134614.00,2026-07-23,,
ADV-000290,INV-2026-001332,PUSHPA METALS AGRI,471430.00,2026-07-19,900000067784,
ADV-000291,,SAHYADRI POLYMERS PVT LTD,389891.00,2026-08-03,900000067859,
ADV-000292,,COPPERLEAF ELEC,687142.00,2026-08-18,,
ADV-000293,,ASHWINI INTERIORS & CO,812298.00,2026-08-03,,
ADV-000294,,SHREE BALAJI HARDWARE PUN,425034.00,2026-08-23,,
ADV-000295,INV-2026-001368,SAPTAGIRI ANALYTICS LTD,816731.00,2026-07-18,,
ADV-000296,INV-2026-001377,SAPTAGIRI ANALYTICS,1058022.00,2026-07-18,900000069487,
ADV-000297,INV-2026-001378,PUSHPA METALS AGRI INPUTS PVT LTD,724937.00,2026-07-22,900000069559,
ADV-000298,INV-2026-001381,TRINETRA PIPING SOLUT,247124.00,2026-08-22,,
ADV-000299,INV-2026-001382,TRIVIDATA ROOFING PRODUCTS PRIVATE LIMITED,1858703.00,2026-08-06,,
ADV-000300,INV-2026-001389,TRIVIDATA ROOFING PRODUCTS PRIVATE LIMITED,159431.00,2026-08-04,,
ADV-000301,INV-2026-001390,TRIVIDATA ROOFING PRODUCTS LTD,724721.00,2026-08-11,,
ADV-000302,INV-2026-001397,TRIVIDATA ROOFING ,235665.00,2026-08-11,900000070264,
ADV-000303,INV-2026-001398,ASHWINI INTERIORS COI,643575.00,2026-08-03,900000070346,
ADV-000304,,TRIVIDATA ROOFING PRODUCTS PVT LTD,518899.00,2026-08-18,900000070352,
ADV-000305,INV-2026-001401,ZENITH ONE LOGISTICS PRIVATE LIMITED,216648.00,2026-08-24,900000070416,
ADV-000306,INV-2026-001402,ORBITEX PACKAGING PRIVATE LIMITED,3024795.00,2026-08-21,900000070468,
ADV-000307,INV-2026-001427,TRIVIDATA ROOFING PRODUCTS PVT LTD,1249899.00,2026-08-15,900000071067,
ADV-000308,INV-2026-001428,ANANT INFRA CONVEYANCES PVT LTD,317324.00,2026-08-20,900000071112,
ADV-000309,INV-2026-001430,VEDIKA FACILITY MANAPEMENT & CO,406176.00,2026-08-18,,
ADV-000310,INV-2026-001457,GOLDCREST STEEL TRADERS COMPANY,1302689.00,2026-08-15,,
ADV-000311,INV-2026-001474,ANANT INFRA CONVEYANCES PVT LTD,139625.00,2026-08-19,,
ADV-000312,INV-2026-001475,GOLDCREST STEEL TRADERS JAI,952720.00,2026-08-11,900000072465,
ADV-000313,,SURYAVANSH PETRO CHEMICALS NAG,555702.00,2026-09-01,900000072526,
ADV-000314,,ASHWINI COLD C,890659.00,2026-08-24,900000072538,
ADV-000315,,ANANT INFRA STAFFING PRIVATE LIMITED,165522.00,2026-09-02,900000072622,
ADV-000316,INV-2026-001491,PUSHPA METALS AGRI INPUTS PVT LTD,322755.00,2026-08-06,900000072838,
ADV-000317,,VEDIKA FACILITY MANAGEMENT PRIVATE LIMITED,1244312.00,2026-08-25,,
ADV-000318,,MERIDIAN LAB SUP,969809.00,2026-07-24,,
ADV-000319,INV-2026-001519,VEDIKA TEXTILES COMPANY,381025.00,2026-08-13,900000073622,
ADV-000320,INV-2026-001520,ASHWINI CABLE,276057.00,2026-08-31,900000073706,
ADV-000321,INV-2026-001521,SAPTAGIRI ANALYTICS LTD,929035.00,2026-08-01,900000073744,
ADV-000322,,SHREE BALAJI HARDWARE PRIVATE LIMITED,649969.00,2026-08-31,,
ADV-000323,INV-2026-001524,SURYAVANSH CATERING SE,120801.00,2026-08-24,900000073918,
ADV-000324,INV-2026-001525,GOLDCREST RTEEL,532420.00,2026-08-02,900000073984,
ADV-000325,INV-2026-001538,PUSHPA METALS AGRI INPUTS LLP,110013.00,2026-08-08,,
ADV-000326,INV-2026-001539,ASHWINI INTERIORS & CO,1008580.00,2026-08-16,900000074437,
ADV-000327,INV-2026-001559,MERIDIAN LAB SUPPLIES NAG,444932.00,2026-08-09,,
ADV-000328,INV-2026-001561,NALANDA REC,369105.00,2026-08-15,900000074770,
ADV-000329,INV-2026-001563,COPPERLEAF ELECTRICALS PVT LTD,509637.00,2026-09-04,900000074839,
ADV-000330,,GOLDCRESTQWAREHOUSING PRIVATE LIMITED,347345.00,2026-08-11,,
ADV-000331,,NALANDA RECYCLERS LLP,941946.00,2026-08-17,900000075498,
ADV-000332,INV-2026-001599,TRIVIDATA ROO ,306051.00,2026-08-28,900000075816,
ADV-000333,INV-2026-001628,ORBITEX DAIRY F,672885.00,2026-08-22,900000076320,
ADV-000334,INV-2026-001630,VEDIKA TEXTILES COMPANY,156596.00,2026-08-28,,
ADV-000335,INV-2026-001646,MERIDIAN LAB SUPPLIES LLP,1454278.00,2026-08-13,,
ADV-000336,INV-2026-001651,ASHWINI INTERIOR,541842.00,2026-09-01,900000076848,
ADV-000337,,SUNYAVANSH CATERING SERVICES CO,1014640.00,2026-08-31,900000077053,
ADV-000338,INV-2026-001672,ASHWINI INTERIORS & CO,449783.00,2026-08-30,,
ADV-000339,,MERILAB SU,837711.00,2026-08-25,900000077440,
ADV-000340,INV-2026-001789,ORBITEX PAPER MILLS & CO,468086.00,2026-08-21,,
ADV-000341,INV-2026-001805,PUSHPA METALS OGRI INPUTS PVT LTD,1080271.00,2026-08-26,900000078508,
ADV-000342,INV-2026-001962,GOLDCREST WAREHOUSING & CO,773283.00,2026-09-03,,
ADV-000343,INV-2026-000233,GOLDCREST WAREHOUSING LLP,95201.00,2026-03-25,,
ADV-000344,INV-2026-000255,GOLDCREST WAREHOUSING COMPANY,224486.00,2026-03-26,900000080364,
ADV-000345,,ASHWINI CABLE SYSTEMS PVT LTD,229656.00,2026-05-06,900000080452,
ADV-000346,,ASHWINI CAQLE SYSTEMS PUN,124877.00,2026-05-08,,
ADV-000347,INV-2026-000549,SURYAVANSH CATERING SERVICES KOC,172721.00,2026-05-26,,
ADV-000348,INV-2026-000378,NALANDA RECYCLERS,1379087.00,2026-04-20,900000080595,
ADV-000349,INV-2026-000514,GOLDWAR WA,40003.00,2026-05-23,,
ADV-000350,,GOLDCREST WAREHOUSING PRIVATE LIMITED,132426.00,2026-05-24,,
ADV-000351,INV-2026-000644,PUSHPA METALS AGRI INPUTS PVT LTD,790719.00,2026-05-20,900000080712,
ADV-000352,,PUSHPA METALS AGRI INPUTS PVT LTD,517140.00,2026-05-22,,
ADV-000353,INV-2026-000646,ASHWINI CABLE SYSTYMS LLP,132427.00,2026-06-10,,
ADV-000354,INV-2026-000678,EVERSTONE WATER TREATMENT COMPANY,224512.00,2026-07-28,900000080741,
ADV-000355,,EVERWAT TREATMENT,163908.00,2026-07-27,900000080741,
ADV-000356,INV-2026-000720,GOLDCREST STEEL TRADERS COMPANY,382812.00,2026-06-10,,
ADV-000357,INV-2026-000838,GOLDCREST STEE,111379.00,2026-06-10,,
ADV-000358,INV-2026-000970,ORBITEX DAIRY FOODS LTD,513010.00,2026-06-27,,
ADV-000359,INV-2026-000982,ORBITEX DAIFY FOODS PVT LTD,1358463.00,2026-06-25,900000080867,
ADV-000360,,ORBITEX DAIRY FOODS PVT LTD,346085.00,2026-06-26,900000080867,
ADV-000361,INV-2026-000971,SURYAVANSH CATERING SERVICES & CO,53891.00,2026-07-26,,
ADV-000362,,SURYAVANSH CATERING SERVICES KOC,716062.00,2026-07-26,900000080912,
ADV-000363,INV-2026-001066,VEDIKA FACILITY MANAGEMENT NAG,766795.00,2026-07-16,,
ADV-000364,INV-2026-001107,ANANT INFRA CONVEYANCES,261131.00,2026-07-28,900000081129,
ADV-000365,INV-2026-001115,ANANT INFRA CONVE,69846.00,2026-07-28,,
ADV-000366,INV-2026-001200,ORBITEX PACKAGING LLP,292511.00,2026-08-22,900000081147,
ADV-000367,INV-2026-001231,ORBITEX PNCKAGING PRIVATE LIMITED,120997.00,2026-08-24,900000081147,
ADV-000368,,SURYAVANSH PRINT S,191446.00,2026-08-24,,
ADV-000369,,SURYAVANSH PRINT SOLUTIONS & CO,547067.00,2026-08-23,,
ADV-000370,,ORBITEX PAPER MILLS PVT LTD,1046804.00,2026-07-30,900000081263,
ADV-000371,INV-2026-001537,SURYAVANSH PRINT ,75581.00,2026-08-25,900000081335,
ADV-000372,INV-2026-001552,SURYAVANSH PRINT SOLUTIONS & CO,119945.00,2026-08-24,900000081335,
