document_no,counterparty,party_code,due_date,days_overdue,bucket,outstanding_inr,expected_in_window_inr,status
INV-2026-000768,Shree Balaji Recyclers Company,,2026-08-26,10,1-30,232143.0,0.0,overdue
INV-2026-000103,Hiranyaka Hardware PVT LTD,,2026-06-09,88,61-90,229772.0,266.01,open
INV-2026-000307,Anant Infra Catering Services Private Limited,,2026-08-03,33,31-60,229029.0,12051.86,overdue
INV-2026-000330,Tansh Machine Parts Ltd,,2026-07-23,44,31-60,227182.0,1331.93,overdue
INV-2026-000075,Zenith One Electricals & Co,,2026-06-03,94,91-180,225782.0,0.0,overdue
INV-2026-000292,Anant Infra Catering Services Private Limited,,2026-08-03,33,31-60,224392.0,0.0,overdue
INV-2026-000113,Indusloom Roofing Products PVT LTD,,2026-06-25,72,61-90,223256.0,0.0,overdue
INV-2026-000456,Shree Balaji Recyclers Company,,2026-07-14,53,31-60,223140.0,0.0,overdue
INV-2026-000771,Hiranyaka Hardware PVT LTD,,2026-09-03,2,1-30,222710.0,155084.56,overdue
INV-2026-000624,Everstone Logistics Ltd,,2026-08-29,7,1-30,222513.0,0.0,overdue
INV-2026-000240,Anant Infra Solar EPC Ltd,,2026-08-10,26,1-30,222493.0,0.0,overdue
INV-2026-000017,Hiranyaka Hardware PVT LTD,,2026-05-26,102,91-180,221169.0,0.0,overdue
INV-2026-000147,Tansh Machine Parts Ltd,,2026-06-29,68,61-90,219811.0,0.0,overdue
INV-2026-000124,Raman Deep Conveyances Private Limited,,2026-06-11,86,61-90,218353.0,0.0,overdue
INV-2026-000507,Saptagiri Water Treatment LLP,,2026-07-31,36,31-60,218341.0,0.0,overdue
INV-2026-000238,Zenith One Electricals & Co,,2026-06-26,71,61-90,216750.0,0.0,overdue
INV-2026-000595,Zenith One Electricals & Co,,2026-08-11,25,1-30,216407.0,0.0,overdue
INV-2026-000625,Everstone Logistics Ltd,,2026-08-29,7,1-30,215261.0,0.0,overdue
INV-2026-000046,Hiranyaka Hardware PVT LTD,,2026-05-30,98,91-180,214927.0,0.0,overdue
INV-2026-000067,Hiranyaka Hardware PVT LTD,,2026-06-02,95,91-180,214687.0,0.0,open
INV-2026-000631,Saptagiri Water Treatment LLP,,2026-08-17,19,1-30,214268.0,0.0,overdue
INV-2026-000437,Tansh Machine Parts Ltd,,2026-08-03,33,31-60,212772.0,0.0,overdue
INV-2026-000611,Raman Deep Conveyances Private Limited,,2026-08-13,23,1-30,211625.0,0.0,overdue
INV-2026-000747,Hiranyaka Hardware PVT LTD,,2026-08-31,5,1-30,210662.0,0.0,overdue
INV-2026-000534,Trividata Warehousing Ltd,,2026-08-04,32,31-60,205723.0,0.0,overdue
INV-2026-000417,Hiranyaka Hardware PVT LTD,,2026-07-16,51,31-60,203614.0,235.44,open
INV-2026-000192,Indusloom Roofing Products PVT LTD,,2026-07-04,63,61-90,201317.0,0.0,open
INV-2026-000843,Shree Balaji Recyclers Company,,2026-09-05,0,1-30,201157.0,163478.31,open
INV-2026-000740,Shree Balaji Recyclers Company,,2026-08-21,15,1-30,201129.0,112209.07,open
INV-2026-000500,Anant Infra Catering Services Private Limited,,2026-08-29,7,1-30,200116.0,159535.32,overdue
INV-2026-000191,Shree Balaji Recyclers Company,,2026-06-11,86,61-90,198977.0,0.0,overdue
INV-2026-000458,Hiranyaka Hardware PVT LTD,,2026-07-22,45,31-60,197194.0,0.0,overdue
INV-2026-000702,Zenith One Electricals & Co,,2026-08-25,11,1-30,193525.0,0.0,overdue
INV-2026-000600,Tansh Machine Parts Ltd,,2026-08-27,9,1-30,192095.0,145161.08,overdue
INV-2026-000757,Hiranyaka Hardware PVT LTD,,2026-09-01,4,1-30,191232.0,0.0,overdue
INV-2026-000288,Lohiya Polymers Private Limited,,2026-08-01,35,31-60,190265.0,0.0,overdue
INV-2026-000173,Raman Deep Conveyances Private Limited,,2026-06-17,80,61-90,189590.0,0.0,overdue
INV-2026-000434,Lohiya Polymers Private Limited,,2026-08-17,19,1-30,189068.0,0.0,overdue
INV-2026-000253,Tansh Machine Parts Ltd,,2026-07-13,54,31-60,188961.0,0.0,overdue
INV-2026-000523,Everstone Logistics Ltd,,2026-08-17,19,1-30,188301.0,0.0,overdue
INV-2026-000211,Zenith One Electricals & Co,,2026-06-23,74,61-90,188021.0,0.0,overdue
INV-2026-000447,Trividata Warehousing Ltd,,2026-07-21,46,31-60,187374.0,728.42,overdue
INV-2026-000708,Shree Balaji Recyclers Company,,2026-08-17,19,1-30,186970.0,71802.41,open
INV-2026-000436,Lohiya Polymers Private Limited,,2026-08-17,19,1-30,185170.0,14947.38,overdue
INV-2026-000829,Shree Balaji Recyclers Company,,2026-09-03,2,1-30,181549.0,145924.46,overdue
INV-2026-000142,Anant Infra Catering Services Private Limited,,2026-07-13,54,31-60,179282.0,0.0,overdue
INV-2026-000477,Anant Infra Catering Services Private Limited,,2026-08-24,12,1-30,178730.0,0.0,overdue
INV-2026-000580,Shree Balaji Recyclers Company,,2026-07-31,36,31-60,175032.0,0.0,overdue
INV-2026-000378,Trividata Warehousing Ltd,,2026-07-13,54,31-60,173883.0,0.0,overdue
INV-2026-000566,Zenith One Electricals & Co,,2026-08-06,30,1-30,169407.0,0.0,overdue
INV-2026-000306,Anant Infra Catering Services Private Limited,,2026-08-03,33,31-60,168034.0,0.0,overdue
INV-2026-000732,Trividata Warehousing Ltd,,2026-08-28,8,1-30,167682.0,0.0,overdue
INV-2026-000108,Tansh Machine Parts Ltd,,2026-06-25,72,61-90,166959.0,0.0,overdue
INV-2026-000260,Anant Infra Catering Services Private Limited,,2026-07-28,39,31-60,164558.0,0.0,overdue
INV-2026-000164,Anant Infra Solar EPC Ltd,,2026-07-31,36,31-60,164313.0,0.0,overdue
INV-2026-000461,Trividata Warehousing Ltd,,2026-07-23,44,31-60,164110.0,0.0,overdue
INV-2026-000227,Hiranyaka Hardware PVT LTD,,2026-06-24,73,61-90,161889.0,0.0,overdue
INV-2026-000048,Shree Balaji Recyclers Company,,2026-05-22,106,91-180,159068.0,0.0,overdue
INV-2026-000043,Lohiya Polymers Private Limited,,2026-06-29,68,61-90,158715.0,0.0,overdue
INV-2026-000214,Anant Infra Catering Services Private Limited,,2026-07-23,44,31-60,158603.0,468.79,overdue
INV-2026-000193,Anant Infra Solar EPC Ltd,,2026-08-03,33,31-60,158353.0,0.0,overdue
INV-2026-000398,Raman Deep Conveyances Private Limited,,2026-07-15,52,31-60,157601.0,0.0,open
INV-2026-000276,Shree Balaji Recyclers Company,,2026-06-23,74,61-90,155539.0,251.73,overdue
INV-2026-000032,Tansh Machine Parts Ltd,,2026-06-12,85,61-90,154634.0,0.0,overdue
INV-2026-000491,Tansh Machine Parts Ltd,,2026-08-12,24,1-30,154139.0,0.0,overdue
INV-2026-000254,Anant Infra Catering Services Private Limited,,2026-07-27,40,31-60,153800.0,761.12,overdue
INV-2026-000521,Tansh Machine Parts Ltd,,2026-08-17,19,1-30,151465.0,0.0,overdue
INV-2026-000552,Hiranyaka Hardware PVT LTD,,2026-08-05,31,31-60,151229.0,0.0,overdue
INV-2026-000455,Lohiya Polymers Private Limited,,2026-08-21,15,1-30,150538.0,28503.19,overdue
INV-2026-000121,Hiranyaka Hardware PVT LTD,,2026-06-11,86,61-90,148586.0,0.0,overdue
INV-2026-000018,Lohiya Polymers Private Limited,,2026-06-25,72,61-90,147953.0,319.21,overdue
INV-2026-000218,Tansh Machine Parts Ltd,,2026-07-08,59,31-60,147292.0,0.0,overdue
INV-2026-000737,Trividata Warehousing Ltd,,2026-08-29,7,1-30,145609.0,0.0,open
INV-2026-000547,Anant Infra Catering Services Private Limited,,2026-09-04,1,1-30,141643.0,0.0,overdue
INV-2026-000439,Zenith One Electricals & Co,,2026-07-20,47,31-60,141475.0,0.0,overdue
INV-2026-000457,Shree Balaji Recyclers Company,,2026-07-14,53,31-60,140842.0,0.0,overdue
INV-2026-000217,Anant Infra Solar EPC Ltd,,2026-08-07,29,1-30,139164.0,0.0,overdue
INV-2026-000425,Trividata Warehousing Ltd,,2026-07-17,50,31-60,138169.0,0.0,overdue
INV-2026-000249,Hiranyaka Hardware PVT LTD,,2026-06-27,70,61-90,137655.0,159.24,open
INV-2026-000001,Tansh Machine Parts Ltd,,2026-06-08,89,61-90,137617.0,0.0,overdue
INV-2026-000565,Shree Balaji Recyclers Company,,2026-07-29,38,31-60,135384.0,0.0,overdue
INV-2026-000232,Lohiya Polymers Private Limited,,2026-07-25,42,31-60,132777.0,0.0,overdue
INV-2026-000122,Anant Infra Catering Services Private Limited,,2026-07-11,56,31-60,128890.0,0.0,overdue
INV-2026-000405,Hiranyaka Hardware PVT LTD,,2026-07-15,52,31-60,128583.0,148.54,open
INV-2026-000343,Everstone Logistics Ltd,,2026-07-24,43,31-60,128543.0,0.0,overdue
INV-2026-000035,Shree Balaji Recyclers Company,,2026-05-20,108,91-180,127984.0,0.0,overdue
INV-2026-000316,Anant Infra Solar EPC Ltd,,2026-08-19,17,1-30,127882.0,0.0,overdue
INV-2026-000293,Lohiya Polymers Private Limited,,2026-08-03,33,31-60,127786.0,0.0,overdue
INV-2026-000453,Tansh Machine Parts Ltd,,2026-08-06,30,1-30,127665.0,1816.75,overdue
INV-2026-000269,Shree Balaji Recyclers Company,,2026-06-22,75,61-90,126632.0,205.0,overdue
INV-2026-000644,Shree Balaji Recyclers Company,,2026-08-08,28,1-30,126208.0,0.0,overdue
INV-2026-000061,Hiranyaka Hardware PVT LTD,,2026-06-01,96,91-180,124448.0,0.0,overdue
INV-2026-000224,Anant Infra Catering Services Private Limited,,2026-07-24,43,31-60,123980.0,0.0,overdue
INV-2026-000069,Shree Balaji Recyclers Company,,2026-05-25,103,91-180,123893.0,0.0,overdue
INV-2026-000236,Hiranyaka Hardware PVT LTD,,2026-06-26,71,61-90,122516.0,0.0,open
INV-2026-000200,Lohiya Polymers Private Limited,,2026-07-20,47,31-60,119724.0,0.0,overdue
INV-2026-000778,Shree Balaji Recyclers Company,,2026-08-27,9,1-30,119077.0,86592.35,overdue
INV-2026-000766,Trividata Warehousing Ltd,,2026-09-03,2,1-30,118498.0,0.0,open
INV-2026-000261,Anant Infra Catering Services Private Limited,,2026-07-28,39,31-60,116378.0,0.0,overdue
INV-2026-000190,Shree Balaji Recyclers Company,,2026-06-11,86,61-90,114556.0,0.0,overdue
INV-2026-000539,Shree Balaji Recyclers Company,,2026-07-27,40,31-60,105641.0,0.0,overdue
INV-2026-000031,Hiranyaka Hardware PVT LTD,,2026-05-28,100,91-180,105628.0,0.0,overdue
INV-2026-000135,Raman Deep Conveyances Private Limited,,2026-06-13,84,61-90,105154.0,0.0,overdue
INV-2026-000688,Hiranyaka Hardware PVT LTD,,2026-08-22,14,1-30,101107.0,31129.45,overdue
INV-2026-000099,Trividata Warehousing Ltd,,2026-06-08,89,61-90,99158.0,0.0,overdue
INV-2026-000701,Shree Balaji Recyclers Company,,2026-08-17,19,1-30,98579.0,0.0,open
INV-2026-000779,Hiranyaka Hardware PVT LTD,,2026-09-04,1,1-30,96485.0,68847.79,overdue
INV-2026-000720,Trividata Warehousing Ltd,,2026-08-27,9,1-30,94792.0,0.0,overdue
INV-2026-000057,Hiranyaka Hardware PVT LTD,,2026-06-01,96,91-180,94583.0,0.0,overdue
INV-2026-000206,Trividata Warehousing Ltd,,2026-06-22,75,61-90,93542.0,0.0,overdue
INV-2026-000259,Anant Infra Catering Services Private Limited,,2026-07-28,39,31-60,92919.0,0.0,overdue
INV-2026-000610,Shree Balaji Recyclers Company,,2026-08-05,31,31-60,92108.0,0.0,overdue
INV-2026-000105,Anant Infra Catering Services Private Limited,,2026-07-09,58,31-60,87955.0,0.0,overdue
INV-2026-000228,Anant Infra Catering Services Private Limited,,2026-07-24,43,31-60,87825.0,0.0,overdue
INV-2026-000241,Lohiya Polymers Private Limited,,2026-07-27,40,31-60,83845.0,0.0,overdue
INV-2026-000205,Shree Balaji Recyclers Company,,2026-06-13,84,61-90,82595.0,0.0,overdue
INV-2026-000668,Shree Balaji Recyclers Company,,2026-08-12,24,1-30,75333.0,0.0,overdue
INV-2026-000210,Hiranyaka Hardware PVT LTD,,2026-06-22,75,61-90,73486.0,0.0,overdue
INV-2026-000506,Anant Infra Catering Services Private Limited,,2026-08-31,5,1-30,64542.0,53191.52,overdue
INV-2026-000285,Hiranyaka Hardware PVT LTD,,2026-07-02,65,61-90,64262.0,0.0,overdue
INV-2026-000791,Shree Balaji Recyclers Company,,2026-08-28,8,1-30,63971.0,0.0,overdue
INV-2026-000519,Hiranyaka Hardware PVT LTD,,2026-08-01,35,31-60,61542.0,0.0,overdue
INV-2026-000540,Shree Balaji Recyclers Company,,2026-07-27,40,31-60,61278.0,0.0,overdue
INV-2026-000542,Hiranyaka Hardware PVT LTD,,2026-08-04,32,31-60,61079.0,0.0,overdue
INV-2026-000120,Hiranyaka Hardware PVT LTD,,2026-06-11,86,61-90,58348.0,67.43,open
INV-2026-000554,Lohiya Polymers Private Limited,,2026-09-04,1,1-30,58295.0,0.0,overdue
INV-2026-000492,Trividata Warehousing Ltd,,2026-07-28,39,31-60,51078.0,0.0,overdue
INV-2026-000237,Anant Infra Solar EPC Ltd,,2026-08-10,26,1-30,50853.0,1581.71,overdue
INV-2026-000563,Everstone Logistics Ltd,,2026-08-21,15,1-30,50516.0,0.0,overdue
INV-2026-000161,Trividata Warehousing Ltd,,2026-06-16,81,61-90,33878.0,0.0,open
INV-2026-000716,Trividata Warehousing Ltd,,2026-08-26,10,1-30,32149.0,0.0,overdue
